again;ponownie;2
dog bark;szczekni_cie psa;1
trench;okop;2
tribulation;cierpienie;1
summer;lato;1
together;razem;1
lackluster;nijaki;3
recharge;do_adowa_;2
membrane;b_ona;2
layout;rozmieszczenie;2
cell;kom—rka;2
insert;wk_ada_;2
beetle;chrz_szcz;2
lens;soczewka;2
cashew;nerkowiec;2
cube;kostka;1
epic (a noun);epopeja;1
doggedly;uparcie;2
dial;tarcza;1
means;_rodki;2
pager;przywo_ywacz;3
foam;piana;2
scrutinise;analizowa_;2
scholar;erudyta;2
copper;mied_;2
steel;stal;1
fluoride;fluorek;1
carbohydrates;w_glowodany;1
chilly;ch_odny;1
shady;podejrzany;1
stern;srogi;1
famine;g_—d;2
deodorant;dezodorant;1
odour;wo_;1
curtain;zas_ona;1
toll;ofiary;2
in a bit;nied_ugo;2
blank;luka;1
vicinity;pobli_e;2
phonics;fonetyka;3
dermal;sk—rny;3
inborn;wrodzony;2
exemption;wyj_tek;2
go off;wybuchn__;2
off you go!;naprz—d!;2
ennoble;uszlachetni_;2
fragile;kruchy;1
crawl;pe_zn__;2
cosher;rozpieszcza_;2
wicked;okropny;2
